janela,formacao_inicio,formacao_fim,negociacao,rank,ativo1,ativo2,ssd,spread_media,spread_desvio
1990/S2_a_1991/S1,1990/S2,1991/S1,1991/S2,1,GPUI,FPC,0.081122894780151,0.0029943560240820078,0.01772559996732685
1990/S2_a_1991/S1,1990/S2,1991/S1,1991/S2,2,FPC,ES,0.09804698678613022,0.006864402670529417,0.01852883407450608
1990/S2_a_1991/S1,1990/S2,1991/S1,1991/S2,3,45200Q,CNP,0.10264142869277748,-0.0005137664099991217,0.02021546406219403
1990/S2_a_1991/S1,1990/S2,1991/S1,1991/S2,4,PEG,0961514D,0.10430933190741598,-0.011163786441570497,0.0170425457438838
1990/S2_a_1991/S1,1990/S2,1991/S1,1991/S2,5,SCG,WEC,0.10697831722063711,-0.0036362033199280755,0.020320772213879575
1990/S2_a_1991/S1,1990/S2,1991/S1,1991/S2,6,PEG,PPL,0.11194621003869543,-0.0028240082146338092,0.020928307179829773
1990/S2_a_1991/S1,1990/S2,1991/S1,1991/S2,7,D,ES,0.11678150946238475,0.008970344984678951,0.019608092787961835
1990/S2_a_1991/S1,1990/S2,1991/S1,1991/S2,8,EIX,PPL,0.1336006156655003,0.004852041441828258,0.022552988027843435
1990/S2_a_1991/S1,1990/S2,1991/S1,1991/S2,9,CNP,SO,0.1389026701772309,0.009486514049485709,0.021518471179386982
1990/S2_a_1991/S1,1990/S2,1991/S1,1991/S2,10,GPUI,ES,0.14096639984393278,0.009858758694611424,0.021541512674831818
1990/S2_a_1991/S1,1990/S2,1991/S1,1991/S2,11,AEP,CEG,0.1469367050914343,-0.0048543732394631415,0.023701189332980988
1990/S2_a_1991/S1,1990/S2,1991/S1,1991/S2,12,45200Q,SO,0.1525805878650317,0.008972747639486587,0.022957783654654437
1990/S2_a_1991/S1,1990/S2,1991/S1,1991/S2,13,D,GPUI,0.15886782656343712,-0.000888413709932474,0.025142536160937562
1990/S2_a_1991/S1,1990/S2,1991/S1,1991/S2,14,0961514D,PPL,0.16181389657810996,0.008339778226936687,0.023975985458683083
1990/S2_a_1991/S1,1990/S2,1991/S1,1991/S2,15,ED,PEG,0.16442584816002181,-0.0007279393121953861,0.025584195387352703
1990/S2_a_1991/S1,1990/S2,1991/S1,1991/S2,16,SO,WEC,0.171146630055091,-0.007857731588047054,0.024897171452953174
1990/S2_a_1991/S1,1990/S2,1991/S1,1991/S2,17,D,FPC,0.17143403816544378,0.0021059423141495345,0.026049020591809743
1990/S2_a_1991/S1,1990/S2,1991/S1,1991/S2,18,ED,PPL,0.17243836174986882,-0.0035519475268291946,0.02596803476961748
1990/S2_a_1991/S1,1990/S2,1991/S1,1991/S2,19,8375930Q,COP,0.1747713609576067,0.02275791602431356,0.013278330613055176
1990/S2_a_1991/S1,1990/S2,1991/S1,1991/S2,20,SO,SCG,0.1768483538342025,-0.004221528268118976,0.026204633421565593
1991/S1_a_1991/S2,1991/S1,1991/S2,1992/S1,1,FPC,ES,0.08412071894599649,-0.002286749668833596,0.018126290349489232
1991/S1_a_1991/S2,1991/S1,1991/S2,1992/S1,2,FPC,WEC,0.08478959409831077,-0.0028261785102201165,0.01812312508099902
1991/S1_a_1991/S2,1991/S1,1991/S2,1992/S1,3,AEP,WEC,0.0852966827317232,0.005747069000101456,0.01747338063920362
1991/S1_a_1991/S2,1991/S1,1991/S2,1992/S1,4,45200Q,FPC,0.09128508881462949,0.0006134099881007192,0.019022740364527904
1991/S1_a_1991/S2,1991/S1,1991/S2,1992/S1,5,AEP,ES,0.09291312848176858,0.006286497841487976,0.018139074123974763
1991/S1_a_1991/S2,1991/S1,1991/S2,1992/S1,6,CEG,SCG,0.09487407565154626,-0.00045085380488732484,0.019397947092719012
1991/S1_a_1991/S2,1991/S1,1991/S2,1992/S1,7,CEG,AYE,0.09520088782255698,-0.0011774390214374637,0.01940075866543985
1991/S1_a_1991/S2,1991/S1,1991/S2,1992/S1,8,AEP,FPC,0.09966641671417165,0.008573247510321572,0.01793625969411805
1991/S1_a_1991/S2,1991/S1,1991/S2,1992/S1,9,D,UEP,0.10007595632623634,-0.0028124854768953444,0.019727781098603476
1991/S1_a_1991/S2,1991/S1,1991/S2,1992/S1,10,NEE,AYE,0.1021922545128291,0.0004044028070979559,0.020133569700634946
1991/S1_a_1991/S2,1991/S1,1991/S2,1992/S1,11,EIX,NEE,0.10285198280439545,0.0008534263278452107,0.020184438614559166
1991/S1_a_1991/S2,1991/S1,1991/S2,1992/S1,12,CEG,NEE,0.10467371681272652,-0.0015818418285354196,0.020318950245671166
1991/S1_a_1991/S2,1991/S1,1991/S2,1992/S1,13,45200Q,ES,0.10856177001596734,-0.0016733396807328766,0.02068790703789293
1991/S1_a_1991/S2,1991/S1,1991/S2,1992/S1,14,EIX,AYE,0.10928850985885674,0.0012578291349431667,0.020786922583377578
1991/S1_a_1991/S2,1991/S1,1991/S2,1992/S1,15,D,DTE,0.1112232536712554,0.0008950075252703127,0.02098947118315342
1991/S1_a_1991/S2,1991/S1,1991/S2,1992/S1,16,WEC,ES,0.11511991714348824,0.0005394288413865208,0.02136663122391703
1991/S1_a_1991/S2,1991/S1,1991/S2,1992/S1,17,45200Q,D,0.12102461824167676,0.008282084226707783,0.020282783544927952
1991/S1_a_1991/S2,1991/S1,1991/S2,1992/S1,18,PPL,TE,0.12239121443690237,-0.0009777978644362369,0.022016347101737225
