Date,ODFL
2019-07-01,49.9900016784668
2019-07-02,49.52333450317383
2019-07-03,49.84333419799805
2019-07-05,50.01333236694336
2019-07-08,49.03666687011719
2019-07-09,48.776668548583984
2019-07-10,47.52333450317383
2019-07-11,47.599998474121094
2019-07-12,49.983333587646484
2019-07-15,49.55666732788086
2019-07-16,51.1533317565918
2019-07-17,51.20000076293945
2019-07-18,51.23666763305664
2019-07-19,51.733333587646484
2019-07-22,52.060001373291016
2019-07-23,53.58333206176758
2019-07-24,54.676666259765625
2019-07-25,54.34000015258789
2019-07-26,54.9466667175293
2019-07-29,54.84333419799805
2019-07-30,55.09000015258789
2019-07-31,55.65999984741211
2019-08-01,55.483333587646484
2019-08-02,55.35333251953125
2019-08-05,54.03333282470703
2019-08-06,54.983333587646484
2019-08-07,55.50666809082031
2019-08-08,56.25666809082031
2019-08-09,55.02333450317383
2019-08-12,55.35333251953125
2019-08-13,57.2599983215332
2019-08-14,55.380001068115234
2019-08-15,54.06999969482422
2019-08-16,55.22999954223633
2019-08-19,55.279998779296875
2019-08-20,54.7400016784668
2019-08-21,55.176666259765625
2019-08-22,54.93333435058594
2019-08-23,52.97666549682617
2019-08-26,53.64666748046875
2019-08-27,53.16999816894531
2019-08-28,53.483333587646484
2019-08-29,54.02333450317383
2019-08-30,54.586666107177734
2019-09-03,53.13999938964844
2019-09-04,53.77000045776367
2019-09-05,54.893333435058594
2019-09-06,54.91666793823242
2019-09-09,55.66999816894531
2019-09-10,57.46666717529297
2019-09-11,58.206668853759766
2019-09-12,57.9033317565918
2019-09-13,57.973331451416016
2019-09-16,58.08000183105469
2019-09-17,58.0
2019-09-18,57.96333312988281
2019-09-19,57.043331146240234
2019-09-20,56.54999923706055
2019-09-23,56.766666412353516
2019-09-24,55.92333221435547
2019-09-25,57.746665954589844
2019-09-26,58.17333221435547
2019-09-27,57.35333251953125
2019-09-30,56.65666580200195
2019-10-01,55.17333221435547
2019-10-02,53.91666793823242
2019-10-03,54.29666519165039
2019-10-04,54.253334045410156
2019-10-07,54.866668701171875
2019-10-08,53.926666259765625
2019-10-09,55.130001068115234
2019-10-10,55.56999969482422
2019-10-11,57.0
2019-10-14,57.08000183105469
2019-10-15,57.686668395996094
2019-10-16,58.52000045776367
2019-10-17,58.79999923706055
2019-10-18,59.5099983215332
2019-10-21,59.96333312988281
2019-10-22,60.3466682434082
